지표,단위,N,평균,표준편차,중앙값,Q1,Q3,IQR,결측률(%),왜도
신장,cm,314999,162.13708614947984,9.68062108966787,160.0,155.0,170.0,15.0,0.0,0.0007849570484757692
체중,kg,314999,64.06901291750133,13.494577739465813,65.0,55.0,70.0,15.0,0.0,0.7074362068899568
근사 BMI,kg/m²,314999,24.22366821129248,3.781317902481591,23.875114784205696,21.484374999999996,26.159334126040427,4.674959126040431,0.0,0.7153842094202213
허리둘레,cm,314972,82.05524649810143,10.180484256685109,82.0,75.0,88.8,13.799999999999997,0.008571455782399309,0.3207048679982312
수축기혈압,mmHg,314995,123.7772091620502,14.524785690954635,123.0,114.0,133.0,19.0,0.001269845301096194,0.46416073459109697
이완기혈압,mmHg,314996,75.37923021244714,10.144846101808444,75.0,69.0,81.0,12.0,0.0009523839758221454,0.31263486147556163
공복혈당,mg/dL,314999,101.77755802399372,22.913946734594877,97.0,90.0,107.0,17.0,0.0,4.4088097644331805
총콜레스테롤,mg/dL,314999,195.98129517871484,42.87943182083811,195.0,166.0,223.0,57.0,0.0,0.9768442199175303
중성지방,mg/dL,314999,122.79354220172128,87.01408176721593,102.0,72.0,148.0,76.0,0.0,6.369658492220693
HDL콜레스테롤,mg/dL,314999,57.224321664513226,15.440824925797983,55.0,46.0,66.0,20.0,0.0,3.44152141787213
LDL콜레스테롤,mg/dL,311196,114.57775485546087,38.97264695246411,113.0,87.0,140.0,53.0,1.2073054200172064,1.5676459704811654
혈색소,g/dL,314995,14.208182987031538,1.5347764438469125,14.2,13.2,15.3,2.1000000000000014,0.001269845301096194,-0.3346299273343615
혈청크레아티닌,mg/dL,314999,0.8567097038403297,0.3972243050307067,0.8,0.7,1.0,0.30000000000000004,0.0,44.18101029936773
AST,IU/L,314999,26.465764970682446,14.435243474390292,24.0,20.0,29.0,9.0,0.0,24.465914865373993
ALT,IU/L,314999,25.300727938818852,17.359530025242574,21.0,16.0,29.0,13.0,0.0,7.4612509299175125
GGT,IU/L,314999,26.77533579471681,15.370967094990682,22.0,16.0,33.0,17.0,0.0,1.332034100654869
