지표,단위,남성 N,여성 N,남성 요약,여성 요약,검정,검정통계량,p-value,효과크기 종류,효과크기,전체 왜도
신장,cm,166366,148633,168.809±6.836,154.669±6.382,Welch t-test,600.2651066689402,0.0,Hedges' g,2.1341704946257662,0.0007849570484757692
체중,kg,166366,148633,71.320±12.280,55.953±9.614,Welch t-test,393.0761535837177,0.0,Hedges' g,1.3841128773788915,0.7074362068899568
근사 BMI,kg/m²,166366,148633,24.964±3.611,23.395±3.796,Welch t-test,118.44550140078029,0.0,Hedges' g,0.4239337650959786,0.7153842094202213
허리둘레,cm,166359,148613,85.976±9.068,77.667±9.548,Welch t-test,249.65997489244717,0.0,Hedges' g,0.8937021163050299,0.3207048679982312
수축기혈압,mmHg,166364,148631,124.760±13.675,122.678±15.346,Welch t-test,40.00743688132947,0.0,Hedges' g,0.14371881709037185,0.46416073459109697
이완기혈압,mmHg,166364,148632,76.765±10.012,73.828±10.068,Welch t-test,81.93738643194527,0.0,Hedges' g,0.2925406544693926,0.31263486147556163
공복혈당,mg/dL,166366,148633,"98.000[91.000, 108.000]","96.000[89.000, 105.000]",Mann–Whitney U,13563351163.0,0.0,Rank-biserial r,0.09702666318184927,4.4088097644331805
총콜레스테롤,mg/dL,166366,148633,192.825±42.525,199.514±42.999,Welch t-test,-43.80787972909118,0.0,Hedges' g,-0.1564540361159011,0.9768442199175303
중성지방,mg/dL,166366,148633,"112.000[78.000, 163.000]","93.000[67.000, 131.000]",Mann–Whitney U,14854304059.0,0.0,Rank-biserial r,0.20144110551282401,6.369658492220693
HDL콜레스테롤,mg/dL,166366,148633,"51.000[43.000, 60.000]","61.000[51.000, 72.000]",Mann–Whitney U,7568040565.0,0.0,Rank-biserial r,-0.38788414543928396,3.44152141787213
LDL콜레스테롤,mg/dL,163295,147901,"113.000[87.000, 139.000]","113.000[87.000, 140.000]",Mann–Whitney U,11878107604.5,2.8463719459223e-15,Rank-biserial r,-0.016366630956874073,1.5676459704811654
혈색소,g/dL,166365,148630,15.102±1.230,13.208±1.184,Welch t-test,439.9598678261009,0.0,Hedges' g,1.5669346828541864,-0.3346299273343615
혈청크레아티닌,mg/dL,166366,148633,"0.900[0.800, 1.100]","0.700[0.600, 0.800]",Mann–Whitney U,21191818455.0,0.0,Rank-biserial r,0.7140299330937687,44.18101029936773
AST,IU/L,166366,148633,"24.000[20.000, 30.000]","23.000[19.000, 29.000]",Mann–Whitney U,13419141716.0,0.0,Rank-biserial r,0.08536276046780067,24.465914865373993
ALT,IU/L,166366,148633,"24.000[18.000, 33.000]","18.000[14.000, 25.000]",Mann–Whitney U,16234290691.5,0.0,Rank-biserial r,0.3130567462563012,7.4612509299175125
GGT,IU/L,166366,148633,"27.000[19.000, 40.000]","18.000[13.000, 25.000]",Mann–Whitney U,17779518600.0,0.0,Rank-biserial r,0.43803737943060894,1.332034100654869
