Variable,N,Missing(%),Mean,SD,Median,IQR,Skewness,Kurtosis,Shapiro_p(n=5000 subsample)
height,254922,0.0,162.17,9.67,160.0,155.00-170.00,-0.0,-0.54,<0.001
weight,254922,0.0,64.12,13.39,65.0,55.00-70.00,0.69,0.82,<0.001
bmi,254922,0.0,24.24,3.76,23.88,21.48-26.16,0.7,1.42,<0.001
waist,254899,0.01,82.12,10.11,82.0,75.00-88.60,0.3,0.36,<0.001
sbp,254918,0.0,123.8,14.49,123.0,114.00-133.00,0.46,0.84,<0.001
dbp,254919,0.0,75.36,10.09,75.0,69.00-81.00,0.3,0.62,<0.001
glucose,254922,0.0,101.76,22.82,97.0,90.00-107.00,4.39,43.3,<0.001
tchol,254922,0.0,195.7,42.51,194.0,166.00-223.00,0.34,0.89,<0.001
tg,254922,0.0,122.14,84.89,102.0,73.00-147.00,6.64,147.76,<0.001
hdl,254922,0.0,57.09,15.41,55.0,46.00-66.00,3.53,122.31,<0.001
ldl,252107,1.1,114.51,38.49,113.0,87.00-140.00,0.41,1.29,<0.001
hgb,254919,0.0,14.21,1.53,14.2,13.20-15.30,-0.35,0.84,<0.001
creatinine,254922,0.0,0.86,0.41,0.8,0.70-1.00,47.61,6434.26,<0.001
ast,254922,0.0,26.22,13.22,24.0,20.00-29.00,16.34,882.21,<0.001
alt,254922,0.0,24.97,16.04,21.0,16.00-29.00,5.86,150.49,<0.001
ggt,254922,0.0,25.57,12.24,23.0,16.00-33.00,0.79,-0.14,<0.001
