Variable,Test,N(M),N(F),Male,Female,Statistic,Levene p,p-value,Effect size,95% CI (diff)
height,Welch's t-test,135295,119627,168.79±6.84,154.67±6.37,539.53,0.0,<0.001,g=2.132,"[14.07, 14.17]"
weight,Welch's t-test,135295,119627,71.25±12.13,56.05±9.64,352.05,0.0,<0.001,g=1.378,"[15.12, 15.29]"
bmi,Welch's t-test,135295,119627,24.95±3.56,23.44±3.81,102.86,0.0,<0.001,g=0.410,"[1.48, 1.54]"
waist,Welch's t-test,135289,119610,85.96±8.95,77.78±9.58,221.64,0.0,<0.001,g=0.883,"[8.10, 8.24]"
sbp,Welch's t-test,135293,119625,124.70±13.62,122.77±15.35,33.49,0.0,<0.001,g=0.134,"[1.82, 2.05]"
dbp,Welch's t-test,135293,119626,76.68±9.91,73.88±10.07,70.49,0.0,<0.001,g=0.280,"[2.72, 2.87]"
glucose,Mann-Whitney U,135295,119627,98.00 [91.00-108.00],96.00 [89.00-105.00],U=8.829e+09,0.0,<0.001,r=-0.091,-
tchol,Welch's t-test,135295,119627,192.55±42.09,199.26±42.70,-39.88,0.0008,<0.001,g=-0.158,"[-7.04, -6.38]"
tg,Mann-Whitney U,135295,119627,112.00 [78.00-162.00],93.00 [67.00-132.00],U=9.664e+09,0.0,<0.001,r=-0.194,-
hdl,Mann-Whitney U,135295,119627,51.00 [43.00-60.00],61.00 [51.00-71.00],U=4.944e+09,0.0,<0.001,r=0.389,-
ldl,Welch's t-test,133081,119026,113.87±38.26,115.22±38.73,-8.83,0.0194,<0.001,g=-0.035,"[-1.66, -1.06]"
hgb,Welch's t-test,135294,119625,15.10±1.22,13.21±1.19,394.31,0.0,<0.001,g=1.562,"[1.88, 1.90]"
creatinine,Mann-Whitney U,135295,119627,0.90 [0.80-1.10],0.70 [0.60-0.80],U=1.388e+10,0.0,<0.001,r=-0.716,-
ast,Mann-Whitney U,135295,119627,24.00 [20.00-30.00],23.00 [19.00-29.00],U=8.676e+09,0.0,<0.001,r=-0.072,-
alt,Mann-Whitney U,135295,119627,24.00 [18.00-33.00],18.00 [14.00-25.00],U=1.056e+10,0.0,<0.001,r=-0.305,-
ggt,Welch's t-test,135295,119627,29.46±12.16,21.16±10.75,182.87,0.0,<0.001,g=0.720,"[8.21, 8.39]"
